name	name_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang	n_tokens	card_title	card_title_ru
Corpus of the Russian dialect spoken in the village Malinino	Корпус говора села Малинино	http://lingconlab.ru/malinino/	corpus	корпус	dialectal	диалектный	Malinino	Малинино	52.2971451922232	39.3490966512283	Russian	138&nbsp;943	Malinino dialect	Говор с. Малинино
Corpus of the Russian dialect spoken in the villages of the Middle Pyoza	Корпус говора Средней Пёзы	http://lingconlab.ru/pyoza/	corpus	корпус	dialectal	диалектный	Moseyevo	Мосеево	65.7915404159691	46.1558367802263	Russian	79&nbsp;566	Middle Pyoza dialect	Говор Средней Пёзы
Corpus of the Russian dialect spoken in Nekhochi	Корпус говора деревни Нехочи	http://lingconlab.ru/nekhochi/	corpus	корпус	dialectal	диалектный	Nekhochi	Нехочи	53.4392727240609	34.9267088496418	Russian	88&nbsp;965	Nekhochi dialect	Говор д. Нехочи
Corpus of Opochetsky dialects	Корпус опочецких говоров	http://lingconlab.ru/opochka	corpus	корпус	dialectal	диалектный	Balashi	Балаши	56.8175303936337	28.6875859088631	Russian	68&nbsp;741	Opochetsky dialects	Опочецкие говоры
Corpus of Opochetsky dialects	Корпус опочецких говоров	http://lingconlab.ru/opochka	corpus	корпус	dialectal	диалектный	Barabany	Барабаны	56.7941037490238	28.6841240628176	Russian	68&nbsp;741	Opochetsky dialects	Опочецкие говоры
Corpus of Opochetsky dialects	Корпус опочецких говоров	http://lingconlab.ru/opochka	corpus	корпус	dialectal	диалектный	Glazanovo	Глазаново	56.8132000251311	28.6823936395506	Russian	68&nbsp;741	Opochetsky dialects	Опочецкие говоры
Corpus of Opochetsky dialects	Корпус опочецких говоров	http://lingconlab.ru/opochka	corpus	корпус	dialectal	диалектный	Kadnikovo	Кадниково	56.8121788258183	28.6973234956895	Russian	68&nbsp;741	Opochetsky dialects	Опочецкие говоры
Corpus of Opochetsky dialects	Корпус опочецких говоров	http://lingconlab.ru/opochka	corpus	корпус	dialectal	диалектный	Purshevo	Пуршево	56.7716087858632	28.6706934313375	Russian	68&nbsp;741	Opochetsky dialects	Опочецкие говоры
Corpus of Rogovatka dialect	Корпус говора села Роговатка	http://lingconlab.ru/rogovatka/	corpus	корпус	dialectal	диалектный	Rogovatoye	Роговатое	51.2501341810638	38.3774542925194	Russian	100&nbsp;047	Rogovatka dialect	Говор с. Роговатка
Corpus of Shetnevo and Makeevo	Корпус говора деревень Шетнево и Макеево	http://lingconlab.ru/shetnevo/	corpus	корпус	dialectal	диалектный	Shetnevo	Шетнево	56.2292723800097	31.6132747548968	Russian	58&nbsp;003	Shetnevo and Makeevo dialect	Говор д. Шетнево и Макеево
Corpus of Shetnevo and Makeevo	Корпус говора деревень Шетнево и Макеево	http://lingconlab.ru/shetnevo/	corpus	корпус	dialectal	диалектный	Makeevo	Макеево	56.2146393595724	31.6212411824737	Russian	58&nbsp;003	Shetnevo and Makeevo dialect	Говор д. Шетнево и Макеево
Corpus of Spiridonova Buda dialect	Корпус говора села Спиридонова Буда	http://lingconlab.ru/SpiridonovaBuda/	corpus	корпус	dialectal	диалектный	Spiridonova Buda	Спиридонова Буда	52.2960319548886	31.7879477629945	Russian	70&nbsp;565	Spiridonova Buda dialect	Говор с. Спиридонова Буда
Corpus of the Russian dialect spoken in Tserkovnoe	Корпус говора села Церковное	http://lingconlab.ru/tserkovnoe	corpus	корпус	dialectal	диалектный	Niz	Низ	62.6623687611176	41.3582859926678	Russian	19&nbsp;960	Tserkovnoe dialect	Говор с. Церковное
Upper Pinega and Vyya Corpus	Корпус говора верхней Пинеги и Выи	http://lingconlab.ru/vaduga/	corpus	корпус	dialectal	диалектный	Vadyuga	Вадюга	62.6816695210031	46.4936074118857	Russian	70&nbsp;803	Upper Pinega and Vyya river basins dialect	Говор верхней Пинеги и Выи
